imgNo, keypointType, descriptorType, number of keypoints, number of mached points, time for keypoints, time for descriptor
1,HARRIS,BRIEF,14,14,12.206616,0.299613
2,HARRIS,BRIEF,18,11,16.584760,0.359446
3,HARRIS,BRIEF,21,15,13.181730,0.324958
4,HARRIS,BRIEF,26,20,14.306253,0.324017
5,HARRIS,BRIEF,43,24,28.710105,0.485907
6,HARRIS,BRIEF,18,26,12.486356,0.337307
7,HARRIS,BRIEF,31,16,15.721955,0.451799
8,HARRIS,BRIEF,26,24,15.258401,0.384796
9,HARRIS,BRIEF,34,23,20.247106,0.450478
1,HARRIS,SIFT,14,14,14.498845,15.112265
2,HARRIS,SIFT,18,11,12.532666,16.146323
3,HARRIS,SIFT,21,16,19.606814,16.281825
4,HARRIS,SIFT,26,19,13.848607,18.340260
5,HARRIS,SIFT,43,22,36.648220,16.910630
6,HARRIS,SIFT,18,22,12.550068,13.763692
7,HARRIS,SIFT,31,13,16.558644,15.990179
8,HARRIS,SIFT,26,24,13.257500,16.579597
9,HARRIS,SIFT,34,22,28.082375,15.921706
1,HARRIS,ORB,14,12,14.745227,0.763862
2,HARRIS,ORB,18,12,13.556061,0.840542
3,HARRIS,ORB,21,15,14.149098,0.852241
4,HARRIS,ORB,26,18,13.860194,0.976217
5,HARRIS,ORB,43,24,30.632315,0.862681
6,HARRIS,ORB,18,20,13.236677,0.843736
7,HARRIS,ORB,31,15,16.185828,0.849791
8,HARRIS,ORB,26,24,14.743028,0.798526
9,HARRIS,ORB,34,22,19.950968,0.851104
1,FAST,BRISK,427,256,2.449717,7.730351
2,FAST,BRISK,404,243,4.495684,4.683892
3,FAST,BRISK,423,241,1.847378,4.824735
4,FAST,BRISK,386,239,1.938243,4.674027
5,FAST,BRISK,414,215,3.139757,4.729731
6,FAST,BRISK,418,251,1.933746,4.966599
7,FAST,BRISK,406,248,1.973704,4.678717
8,FAST,BRISK,396,243,2.216390,4.537973
9,FAST,BRISK,401,247,2.047770,4.852114
1,FAST,FREAK,427,251,1.994149,49.595773
2,FAST,FREAK,404,247,1.925612,50.490605
3,FAST,FREAK,423,233,2.800085,52.400083
4,FAST,FREAK,386,255,1.989276,53.405633
5,FAST,FREAK,414,231,2.649424,52.337137
6,FAST,FREAK,418,265,2.464445,53.041842
7,FAST,FREAK,406,251,1.978009,51.236438
8,FAST,FREAK,396,253,2.023659,52.423354
9,FAST,FREAK,401,247,2.007250,52.740466
1,FAST,BRIEF,427,320,2.360644,2.053639
2,FAST,BRIEF,404,332,1.937127,2.099726
3,FAST,BRIEF,423,299,2.468601,1.692476
4,FAST,BRIEF,386,331,2.116221,1.526842
5,FAST,BRIEF,414,276,1.978424,1.671083
6,FAST,BRIEF,418,327,1.949807,2.041647
7,FAST,BRIEF,406,324,2.014165,1.593103
8,FAST,BRIEF,396,315,1.967717,1.586249
9,FAST,BRIEF,401,307,2.265654,1.599341
1,FAST,SIFT,427,316,1.971322,58.588262
2,FAST,SIFT,404,325,3.186987,62.658003
3,FAST,SIFT,423,297,3.063957,73.013642
4,FAST,SIFT,386,311,3.226896,57.628444
5,FAST,SIFT,414,291,3.181254,57.529680
6,FAST,SIFT,418,326,3.393796,59.887541
7,FAST,SIFT,406,315,3.370022,61.087629
8,FAST,SIFT,396,300,2.089397,50.693411
9,FAST,SIFT,401,301,2.053798,59.394841
1,FAST,ORB,427,307,2.804200,2.219922
2,FAST,ORB,404,308,2.151644,1.518077
3,FAST,ORB,423,298,2.025093,1.951812
4,FAST,ORB,386,321,2.100105,1.422642
5,FAST,ORB,414,283,1.936851,1.521144
6,FAST,ORB,418,315,2.014594,1.828791
7,FAST,ORB,406,323,2.110080,1.797637
8,FAST,ORB,396,302,2.500736,1.489075
9,FAST,ORB,401,311,2.466647,1.732695
1,BRISK,BRISK,282,171,548.118275,3.462650
2,BRISK,BRISK,282,176,464.043958,3.519704
3,BRISK,BRISK,277,157,454.236058,5.409181
4,BRISK,BRISK,297,176,451.650479,3.735311
5,BRISK,BRISK,279,174,471.133775,3.761785
6,BRISK,BRISK,289,188,462.057053,5.128211
7,BRISK,BRISK,272,173,477.860901,3.403661
8,BRISK,BRISK,266,171,449.701073,3.505653
9,BRISK,BRISK,254,184,459.288288,3.283964
1,BRISK,FREAK,282,160,440.007272,50.057775
2,BRISK,FREAK,282,177,486.181965,52.859412
3,BRISK,FREAK,277,155,447.965131,48.480913
4,BRISK,FREAK,297,173,438.581279,49.543546
5,BRISK,FREAK,279,161,437.983404,49.084272
6,BRISK,FREAK,289,183,438.458381,48.146030
7,BRISK,FREAK,272,169,437.939988,48.995340
8,BRISK,FREAK,266,178,441.252524,48.069695
9,BRISK,FREAK,254,168,438.228547,48.634814
1,BRISK,BRIEF,282,178,436.558755,1.102316
2,BRISK,BRIEF,282,205,438.741257,1.151432
3,BRISK,BRIEF,277,185,439.193145,1.151983
4,BRISK,BRIEF,297,179,441.685584,1.252206
5,BRISK,BRIEF,279,183,440.886936,1.162766
6,BRISK,BRIEF,289,195,439.644508,1.241554
7,BRISK,BRIEF,272,207,440.135804,1.202492
8,BRISK,BRIEF,266,189,437.116363,1.091769
9,BRISK,BRIEF,254,183,439.033881,1.108189
1,BRISK,SIFT,282,182,439.322184,64.076772
2,BRISK,SIFT,282,193,484.693077,61.631948
3,BRISK,SIFT,277,169,442.413391,64.714216
4,BRISK,SIFT,297,183,436.752130,66.907974
5,BRISK,SIFT,279,171,436.744085,62.194414
6,BRISK,SIFT,289,195,438.855335,64.808131
7,BRISK,SIFT,272,194,437.154511,61.693652
8,BRISK,SIFT,266,176,438.128652,62.841416
9,BRISK,SIFT,254,183,439.279163,59.396304
1,BRISK,ORB,282,162,441.126381,5.505319
2,BRISK,ORB,282,175,441.186393,4.769248
3,BRISK,ORB,277,158,438.994645,4.845394
4,BRISK,ORB,297,167,439.005320,4.858993
5,BRISK,ORB,279,160,441.833700,5.158202
6,BRISK,ORB,289,182,440.124426,4.864535
7,BRISK,ORB,272,167,443.120737,4.967493
8,BRISK,ORB,266,171,437.936342,4.789171
9,BRISK,ORB,254,172,439.638644,4.904259
1,ORB,BRISK,102,73,8.025811,1.476562
2,ORB,BRISK,106,74,8.343303,1.500898
3,ORB,BRISK,113,79,8.598515,1.595428
4,ORB,BRISK,109,85,8.144576,1.517664
5,ORB,BRISK,125,79,8.548281,1.849368
6,ORB,BRISK,130,92,7.705666,1.755964
7,ORB,BRISK,129,90,7.781224,1.752187
8,ORB,BRISK,127,88,7.739523,1.828675
9,ORB,BRISK,128,91,8.193168,1.715694
1,ORB,FREAK,102,42,8.419583,47.961651
2,ORB,FREAK,106,36,8.293479,47.525404
3,ORB,FREAK,113,44,8.389615,47.125967
4,ORB,FREAK,109,47,8.247665,47.095645
5,ORB,FREAK,125,44,8.266202,47.491964
6,ORB,FREAK,130,51,8.289532,47.197505
7,ORB,FREAK,129,52,8.258279,47.206517
8,ORB,FREAK,127,48,8.279355,48.724369
9,ORB,FREAK,128,56,8.302853,47.157917
1,ORB,BRIEF,102,49,8.130187,0.553842
2,ORB,BRIEF,106,43,7.537497,0.664043
3,ORB,BRIEF,113,45,8.145946,0.599274
4,ORB,BRIEF,109,59,7.536258,0.580995
5,ORB,BRIEF,125,53,7.498677,0.980546
6,ORB,BRIEF,130,78,8.384426,0.660314
7,ORB,BRIEF,129,68,8.292027,0.649093
8,ORB,BRIEF,127,84,7.761837,0.941083
9,ORB,BRIEF,128,66,7.742561,0.720293
1,ORB,SIFT,102,67,8.452656,63.839454
2,ORB,SIFT,106,79,8.124079,71.976672
3,ORB,SIFT,113,78,9.642479,72.938656
4,ORB,SIFT,109,79,9.515653,65.973500
5,ORB,SIFT,125,82,8.209845,70.560970
6,ORB,SIFT,130,95,9.584180,77.083323
7,ORB,SIFT,129,95,8.334046,78.584449
8,ORB,SIFT,127,94,8.247546,86.638764
9,ORB,SIFT,128,94,8.223421,77.199617
1,ORB,ORB,102,67,7.563465,4.775139
2,ORB,ORB,106,70,8.316208,4.734812
3,ORB,ORB,113,72,7.553943,4.789200
4,ORB,ORB,109,84,7.448292,4.726459
5,ORB,ORB,125,91,11.207146,4.749048
6,ORB,ORB,130,101,7.484795,4.867995
7,ORB,ORB,129,92,7.543380,4.737213
8,ORB,ORB,127,93,11.662011,4.754770
9,ORB,ORB,128,93,8.025519,5.265818
1,AKAZE,AKAZE,157,138,99.948496,89.554618
2,AKAZE,AKAZE,161,138,99.252119,85.822786
3,AKAZE,AKAZE,155,133,111.390400,94.713812
4,AKAZE,AKAZE,163,127,104.559272,91.286285
5,AKAZE,AKAZE,164,129,104.799314,93.378073
6,AKAZE,AKAZE,173,146,115.898188,99.769206
7,AKAZE,AKAZE,175,147,115.592225,91.607381
8,AKAZE,AKAZE,177,151,120.604280,90.294773
9,AKAZE,AKAZE,179,150,107.674995,91.985209
